Site,ID,H11,H12,H13,H21,H22,H23,H31,H32,H33,AveH1,AveH2,AveH3
Best Electronic,14,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Best Electronic,15,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Best Electronic,16,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Best Electronic,17,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BestBuy,1,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BestBuy,2,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BestBuy,3,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BestBuy,4,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BestBuy,5,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BestBuy,6,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BestBuy,7,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BestBuy,8,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BestBuy,9,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BestBuy,10,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BestBuy,11,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BestBuy,12,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BestBuy,13,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BestBuy,14,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BestBuy,15,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BestBuy,16,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BestBuy,17,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BestBuy,18,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BigCommerce,1,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BigCommerce,2,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BigCommerce,3,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BigCommerce,4,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BigCommerce,5,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BigCommerce,6,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BigCommerce,7,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BigCommerce,8,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BigCommerce,9,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BigCommerce,10,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BigCommerce,11,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BigCommerce,12,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BigCommerce,13,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BigCommerce,14,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BigCommerce,15,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BigCommerce,16,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BigCommerce,17,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BigCommerce,18,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Blinkee,1,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Blinkee,2,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Blinkee,3,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Blinkee,4,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Blinkee,5,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Blinkee,6,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Blinkee,7,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Blinkee,8,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Blinkee,9,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Blinkee,10,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Blinkee,11,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Blinkee,12,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Blinkee,13,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Blinkee,14,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Blinkee,15,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Blinkee,16,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Bliss,1,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Bliss,2,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Bliss,3,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Bliss,4,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Bliss,5,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Bliss,6,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Bliss,7,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Bliss,8,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Bliss,9,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Bliss,10,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Bliss,11,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Bliss,12,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Bliss,13,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Bliss,14,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Bliss,15,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
BonBonBon,1,4,,,4,,,4,,,4,4,4
BonBonBon,2,4,,,4,,,4,,,4,4,4
BonBonBon,3,4,,,4,,,3,,,4,4,3
BonBonBon,4,4,,,4,,,3,,,4,4,3
BonBonBon,5,4,,,3,,,4,,,4,3,4
BonBonBon,6,4,,,3,,,4,,,4,3,4
BonBonBon,7,4,,,3,,,4,,,4,3,4
BonBonBon,8,4,,,3,,,4,,,4,3,4
BonBonBon,9,4,,,3,,,4,,,4,3,4
BonBonBon,10,4,,,3,,,4,,,4,3,4
BonBonBon,11,4,,,4,,,4,,,4,4,4
BonBonBon,12,4,,,3,,,4,,,4,3,4
BonBonBon,13,4,,,3,,,4,,,4,3,4
BonBonBon,14,4,,,3,,,3,,,4,3,3
BonBonBon,15,4,,,3,,,3,,,4,3,3
BonBonBon,16,4,,,4,,,4,,,4,4,4
BonBonBon,17,4,,,4,,,4,,,4,4,4
BonBonBon,18,4,,,4,,,4,,,4,4,4
BonBonBon,19,4,,,4,,,4,,,4,4,4
Costco,1,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Costco,2,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Costco,3,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Costco,4,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Costco,5,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Costco,6,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Costco,7,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Costco,8,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Costco,9,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Costco,10,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Costco,11,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Costco,12,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Costco,13,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Costco,14,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Costco,15,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
CruiseMaster,1,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
CruiseMaster,2,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
CruiseMaster,3,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
CruiseMaster,4,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
CruiseMaster,5,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
CruiseMaster,6,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
CruiseMaster,7,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
CruiseMaster,8,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
CruiseMaster,9,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
CruiseMaster,10,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
CruiseMaster,11,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
CruiseMaster,12,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
CruiseMaster,13,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
CruiseMaster,14,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
CruiseMaster,15,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Custom Barres,1,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Custom Barres,2,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Custom Barres,3,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Custom Barres,4,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Custom Barres,5,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Custom Barres,6,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Custom Barres,7,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Custom Barres,8,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Custom Barres,9,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Custom Barres,10,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Custom Barres,11,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Custom Barres,12,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Custom Barres,13,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Custom Barres,14,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Custom Barres,15,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
CVS,1,3,,,3,,,4,,,3,3,4
CVS,2,4,,,3,,,2,,,4,3,2
CVS,3,4,,,4,,,4,,,4,4,4
CVS,4,2,,,3,,,3,,,2,3,3
CVS,5,3,,,3,,,4,,,3,3,4
CVS,6,4,,,4,,,2,,,4,4,2
CVS,7,4,,,3,,,4,,,4,3,4
CVS,8,4,,,4,,,4,,,4,4,4
CVS,9,4,,,3,,,4,,,4,3,4
CVS,10,4,,,3,,,3,,,4,3,3
CVS,11,4,,,4,,,4,,,4,4,4
CVS,12,4,,,4,,,4,,,4,4,4
CVS,13,4,,,4,,,4,,,4,4,4
CVS,14,4,,,4,,,4,,,4,4,4
CVS,15,4,,,4,,,4,,,4,4,4
Decibullz,1,4,,,4,,,4,,,4,4,4
Decibullz,2,4,,,4,,,4,,,4,4,4
Decibullz,3,4,,,4,,,4,,,4,4,4
Decibullz,4,4,,,4,,,4,,,4,4,4
Decibullz,5,4,,,4,,,4,,,4,4,4
Decibullz,6,3,,,4,,,4,,,3,4,4
Decibullz,7,4,,,4,,,4,,,4,4,4
Decibullz,8,4,,,4,,,4,,,4,4,4
Decibullz,9,4,,,4,,,4,,,4,4,4
Decibullz,10,4,,,4,,,4,,,4,4,4
Decibullz,11,4,,,4,,,4,,,4,4,4
Decibullz,12,3,,,3,,,4,,,3,3,4
Decibullz,13,4,,,4,,,4,,,4,4,4
Decibullz,14,4,,,4,,,4,,,4,4,4
Decibullz,15,4,,,4,,,4,,,4,4,4
DSW,1,4,4,,4,4,,4,4,,4,4,4
